name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,"102,400,000","54,538,000","43,424,000","45,672,000","53,530,000","68,579,000","90,488,000","114,802,000","97,833,000","68,348,000","66,002,000","46,132,000","35,322,000","37,286,000","43,700,000","55,452,231","43,257,438","6,726,430","3,239,594","2,130,730","1,556,000","405,000","107,000"
	CurrentAssets,"70,044,000","36,110,000","33,166,000","37,239,000","44,466,000","57,061,000","77,363,000","101,474,000","86,320,000","59,864,000","57,767,000","39,324,000","29,802,000","36,257,000","43,352,000","55,055,671","43,022,239","6,345,526","2,788,233","1,617,994",,,
		CashCashEquivalentsAndShortTermInvestments,"63,061,000","19,505,000","18,017,000","22,553,000","26,838,000","35,128,000","54,812,000","66,223,000","61,169,000","39,022,000","41,184,000","19,776,000","14,179,000","22,641,000","33,415,000","44,356,219","36,466,727","3,618,723","1,280,612","609,919","46,000","11,000","12,000"
			CashAndCashEquivalents,"63,061,000","19,505,000","18,017,000","22,553,000","26,838,000","35,128,000","54,812,000","66,223,000","61,169,000","38,744,000","41,184,000","19,776,000","14,179,000","22,641,000","33,415,000","24,468,732","26,434,989","3,521,637","1,258,273","609,919","46,000","11,000","12,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,"609,919",,,
				CashEquivalents,,,,,,,"54,886,000","66,619,000","61,558,000",,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,"278,000",,"0",,,,"19,887,487","10,031,738","97,086","22,339",,,,
		Receivables,"4,519,000","13,006,000","12,646,000","11,769,000","14,415,000","16,398,000","14,608,000","13,986,000","13,626,000","16,965,000","13,554,000","17,340,000","11,582,000","10,968,000","7,274,000","9,020,363","5,327,279","2,369,915","1,311,399","892,337",,,
			AccountsReceivable,"4,519,000","13,006,000","12,646,000","11,769,000","14,415,000","16,398,000","14,608,000","13,986,000","13,626,000","13,340,000","13,290,000","11,279,000","11,582,000","9,969,000","7,274,000","9,020,363","5,327,279","2,369,915","1,311,399","892,337",,,
				GrossAccountsReceivable,"7,333,000","14,132,000","13,338,000","12,084,000","14,710,000","16,782,000","15,044,000","14,414,000","14,124,000",,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,814,000","-1,126,000","-692,000","-315,000","-295,000","-384,000","-436,000","-428,000","-498,000",,,,,,,,,,,,,,
			TaxesReceivable,,"989,000","389,000","517,000","542,000","1,356,000","3,756,000","2,656,000","6,682,000","3,625,000","264,000","6,061,000",,,,,,,,,,,
			OtherReceivables,,,,"0","0","0","0","0","0",,"0","1,238,000","0","999,000","0","0","0","0","0","0",,,
		PrepaidAssets,"2,141,000","3,406,000","2,336,000","2,635,000","1,981,000","3,768,000","5,794,000","5,224,000","8,812,000","2,123,000","1,489,000","1,103,000","2,726,000","978,000","506,000","631,331","674,208","131,618","114,909","18,179",,,
		RestrictedCash,,,,,,,"0","200,000",,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,"793,000","1,230,000","1,311,000","1,143,000","2,194,000","1,754,000","1,411,000","966,000","1,089,000","1,393,000","1,980,000","1,019,942","390,895","225,270","81,313","65,051",,,
			CurrentDeferredTaxesAssets,,,,,"793,000","1,230,000","1,311,000","1,143,000","2,194,000","1,754,000","1,411,000","966,000","1,089,000","1,393,000","1,980,000","1,019,942","390,895","225,270","81,313","65,051",,,
		AssetsHeldForSaleCurrent,"230,000",,,,,,,,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,,,,,,,"192,000","13,668,000",,,,,,,,,,,,,,,
		OtherCurrentAssets,"93,000","193,000","167,000","282,000","439,000","537,000","646,000","1,030,000","519,000",,"129,000","139,000","226,000","277,000","177,000","27,816","163,130","0","0","32,508",,,
	TotalNonCurrentAssets,"32,356,000","18,428,000","10,258,000","8,433,000","9,064,000","11,518,000","13,125,000","13,328,000","11,513,000","8,484,000","8,235,000","6,808,000","5,520,000","1,029,000","348,000","396,560","235,199","380,904","451,361","512,736",,,
