,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,ttm
0,TotalRevenue,"1,279,908,000","6,462,376,000","6,055,126,000","5,396,175,000","4,874,340,000","4,345,048,000","3,125,881,000","2,570,294,000","2,276,246,000","2,219,324,000","2,012,128,000","1,855,204,000","2,106,401,000","2,172,815,000","1,976,309,000","1,616,154,000","1,338,286,000","1,279,908,000"
1,	OperatingRevenue,"1,279,908,000","6,462,376,000","6,055,126,000","5,396,175,000","4,874,340,000","4,345,048,000","3,125,881,000","2,570,294,000","2,276,246,000","2,219,324,000","2,012,128,000","1,855,204,000","2,106,401,000","2,172,815,000","1,976,309,000","1,616,154,000","1,338,286,000","1,279,908,000"
2,CostOfRevenue,"1,693,061,000","3,663,261,000","3,377,076,000","3,063,644,000","2,850,225,000","2,655,449,000","1,946,624,000","1,657,659,000","1,478,433,000","1,467,876,000","1,347,298,000","1,289,454,000","1,578,481,000","1,692,940,000","1,567,382,000","1,210,505,000","981,537,000","1,693,061,000"
3,GrossProfit,"-413,153,000","2,799,115,000","2,678,050,000","2,332,531,000","2,024,115,000","1,689,599,000","1,179,257,000","912,635,000","797,813,000","751,448,000","664,830,000","565,750,000","527,920,000","479,875,000","408,927,000","405,649,000","356,749,000","-413,153,000"
4,OperatingExpense,"1,463,185,000","1,621,038,000","1,458,989,000","1,283,712,000","1,098,651,000","987,113,000","676,316,000","516,748,000","440,720,000","435,336,000","434,589,000","394,376,000","462,392,000","435,096,000","368,347,000","332,386,000","291,957,000","1,463,185,000"
5,	SellingGeneralAndAdministration,"745,345,000","974,850,000","897,929,000","773,755,000","666,156,000","554,999,000","403,169,000","301,155,000","251,183,000","251,351,000","264,398,000","241,676,000","299,827,000","287,093,000","249,250,000","228,205,000","204,560,000","745,345,000"
6,		SellingAndMarketingExpense,,"974,850,000","897,929,000","773,755,000","666,156,000","554,999,000","403,169,000","301,155,000","251,183,000","251,351,000",,,,,,,,
7,	DepreciationAmortizationDepletionIncomeStatement,"717,840,000","646,188,000","561,060,000","509,957,000","432,495,000","432,114,000","273,147,000","215,593,000","189,537,000","183,985,000","170,191,000","152,700,000","162,565,000","148,003,000","119,097,000","104,181,000","87,397,000","717,840,000"
8,		DepreciationAndAmortizationInIncomeStatement,"717,840,000","646,188,000","561,060,000","509,957,000","432,495,000","432,114,000","273,147,000","215,593,000","189,537,000","183,985,000","170,191,000","152,700,000","162,565,000","148,003,000","119,097,000","104,181,000","87,397,000","717,840,000"
9,OperatingIncome,"-1,876,338,000","1,178,077,000","1,219,061,000","1,048,819,000","925,464,000","702,486,000","502,941,000","395,887,000","357,093,000","316,112,000","230,241,000","171,374,000","65,528,000","44,779,000","40,580,000","73,263,000","64,792,000","-1,876,338,000"
10,NetNonOperatingInterestIncomeExpense,"-454,513,000","-272,867,000","-270,404,000","-267,804,000","-276,859,000","-221,909,000","-151,754,000","-282,602,000","-189,930,000","-190,187,000","-173,672,000","-114,514,000","-149,568,000","-174,025,000","-133,086,000","-82,203,000","-47,452,000","-454,513,000"
11,	InterestIncomeNonOperating,,,,,,,,,,"38,000","100,000","836,000","2,796,000","1,384,000","3,392,000","4,803,000","1,434,000",
