name,ttm,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007
TotalRevenue,"130,716","441,769","505,187","430,797","400,277","544,658","1,093,456","1,563,375","987,115","1,292,517","2,543,000","1,320,225","2,755,608",,
	OperatingRevenue,"130,716","441,769","505,187","430,797","400,277","544,658","1,093,456","1,563,375","987,115","1,292,517","2,543,000","1,320,225","2,755,608",,
CostOfRevenue,"97,344","352,963","400,814","328,335","359,239","217,302","355,995","412,225","501,460","3,558,714","9,964,619","3,456,658","1,410,113",,
GrossProfit,"33,372","88,806","104,373","102,462","41,038","327,356","737,461","1,151,150","485,655","-2,266,197","-7,421,619","-2,136,433","1,345,495",,
OperatingExpense,"6,744,754","6,056,421","5,332,153","5,741,115","6,972,816","3,855,998","6,049,696","9,368,450","5,315,808","11,691,200","12,788,514","8,955,569","3,084,420","51,282","33,533"
	SellingGeneralAndAdministration,"6,097,822","4,608,784","4,171,125","5,234,776","6,728,332","3,801,152","5,707,157","9,368,450","5,315,808","11,691,200","12,788,514","8,955,569","3,084,420","51,282","33,533"
		GeneralAndAdministrativeExpense,"5,815,648","4,473,481","4,171,125","5,150,352","6,551,617","3,779,228","5,465,719","9,059,091","5,184,304","11,641,899","12,348,941","8,884,309","3,042,085",,
			SalariesAndWages,"2,649,537","2,163,243","2,264,081","2,536,303","1,539,112","1,807,212","2,045,183","2,546,077","1,566,043","1,465,927","1,978,077","1,936,501","1,553,546",,
			OtherGandA,"3,166,111","2,310,238","1,907,044","2,614,049","5,012,505","1,972,016","3,420,536","6,513,014","3,618,261","10,175,972","10,370,864","6,947,808","1,488,539",,
		SellingAndMarketingExpense,"282,174","135,303",,"84,424","176,715","21,924","241,438","309,359","131,504","49,301","439,573","71,260","42,335",,
	ResearchAndDevelopment,"614,364","1,447,637","1,071,553","506,339","244,484","54,846","342,539",,,,,,,,
	OtherOperatingExpenses,,,"89,475",,,,,,,,,,,,
OperatingIncome,"-6,711,382","-5,967,615","-5,227,780","-5,638,653","-6,931,778","-3,528,642","-5,312,235","-8,217,300","-4,830,153","-13,957,397","-20,210,133","-11,092,002","-1,738,925","-51,282","-33,533"
NetNonOperatingInterestIncomeExpense,"-341,064","-164,177","-163,195","-198,038","-248,200","-384,899","-1,054,758","-1,129,388","-1,774,792","-1,231,199","-553,893","-642,164","-119,195",,
	InterestIncomeNonOperating,,,,,,,,,,,,,"42",,
	InterestExpenseNonOperating,"341,064","164,177","163,195","198,038","248,200","384,899","1,054,758","1,129,388","1,774,792","1,231,199","553,893","642,164","119,237",,
OtherIncomeExpense,"-797,557","-3,322,894","9,689,538","-4,200,451","82,703","-636,943","6,316,507","-8,949,114","2,371,843","1,537,530","-2,406,317","-130,066","14,553",,
	GainOnSaleOfSecurity,"-1,123,983","-3,282,338","4,485,738",,"66,011","287,149","1,077,787","-952,026","2,081,029",,"26,514",,,,
	EarningsFromEquityInterest,,,,,,,"-872,791",,,,,,,,
	SpecialIncomeCharges,,"-75,000","5,203,800","-2,227,800","16,692","-924,092","6,111,511","-7,997,088","290,814","1,537,530","-2,432,831","-130,066","14,553",,
		ImpairmentOfCapitalAssets,,,"0","2,085,000",,"0","125,000",,"0","1,856,054","7,269,830",,"0",,
		OtherSpecialCharges,,"75,000","46,200","142,800","-16,692","2,007,022","18,677","7,997,088","-290,814","-3,393,584","-4,836,999","130,066","-14,553",,
		GainOnSaleOfBusiness,,,,,"0","1,082,930","6,255,188",,,,,,,,
		GainOnSaleOfPPE,,"0","5,250,000",,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"401,426","34,444",,"-1,972,651",,,,,,,,,,,
PretaxIncome,"-7,850,003","-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","-50,486","-18,295,802","-4,233,102",,"-23,170,343","-11,864,232",,,
NetIncomeCommonStockholders,"-7,850,003","-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","1,546,459","-16,431,214","-4,210,686","-13,651,066","-23,170,343","-11,864,232","-1,843,567","-54,736","-35,156"
	NetIncome,"-7,850,003","-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","1,549,040","-16,414,520","-4,192,313","-13,651,066","-23,170,343","-11,864,232","-1,843,567","-54,736","-35,156"
		NetIncomeIncludingNoncontrollingInterests,"-7,850,003","-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","-50,486","-18,295,802","-4,233,102","-13,651,066","-23,170,343","-11,864,232","-1,843,567","-54,736","-35,156"
			NetIncomeContinuousOperations,"-7,850,003","-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","-50,486","-18,295,802","-4,233,102","-13,651,066","-23,170,343","-11,864,232","-1,843,567","-54,736","-35,156"
		MinorityInterests,,,,,,"0","1,599,526","1,881,282","40,789",,,,,,
	PreferredStockDividends,,,,,,,"2,581","16,694","18,373",,,,,,
DilutedNIAvailtoComStockholders,"-7,850,003","-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","1,546,459","-16,431,214","-4,210,686","-13,651,066","-23,170,343","-11,864,232","-1,843,567","-54,736","-35,156"
BasicEPS,,"-0.8","0.5","-1.61","-2.05","-3.9","10","-147.5","-71.25","-5,081.25","-26,420.003","-22,641.664","-4,679.104","-139.277","-89.455"
