name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalRevenue,"47,558,000","53,601,000","111,412,000","111,322,000","106,524,000","128,552,000","141,716,000","142,076,000","158,234,000","151,168,000","148,342,000","112,784,000","93,973,000","81,404,000","78,911,000","69,525,000","50,772,141","33,679,232","17,991,241","9,847,820","6,147,938","3,950,000","954,000","84,000"
	OperatingRevenue,"47,558,000","53,601,000","111,412,000","111,322,000","106,524,000","128,552,000","141,716,000","142,076,000","158,234,000","151,168,000","148,342,000","112,784,000","93,973,000","81,404,000","78,911,000","69,525,000","50,772,141","33,679,232","17,991,241","9,847,820","-6,482","3,950,000","954,000","84,000"
CostOfRevenue,"10,878,000","10,563,000","11,889,000","12,268,000","12,909,000","14,313,000","18,824,000","17,906,000","17,402,000","15,745,000","13,283,000","7,253,000","5,628,000","2,996,000","2,097,000","1,038,000","878,102","694,713","399,039","351,169","304,081",,,
GrossProfit,"36,680,000","43,038,000","99,523,000","99,054,000","93,615,000","114,239,000","122,892,000","124,170,000","140,832,000","135,423,000","135,059,000","105,531,000","88,345,000","78,408,000","76,814,000","68,487,000","49,894,039","32,984,519","17,592,202","9,496,651","5,843,857",,,
OperatingExpense,"46,180,000","54,191,000","90,059,000","90,816,000","89,070,000","103,171,000","115,746,000","103,120,000","138,554,000","109,934,000","120,037,000","82,019,000","74,637,000","75,297,000","56,190,000","38,734,000","35,023,984","21,951,519","13,853,369","8,020,403","4,628,835","3,200,000",,
	SellingGeneralAndAdministration,"43,844,000","51,110,000","83,174,000","81,823,000","79,846,000","93,726,000","103,218,000","110,703,000","116,554,000","106,934,000","120,037,000","82,019,000","74,637,000","75,297,000","56,190,000","38,734,000","35,023,984","21,951,196","13,853,369","8,020,403","4,628,835",,,
		GeneralAndAdministrativeExpense,"19,532,000","20,494,000","22,824,000","23,304,000","22,558,000","22,697,000","24,176,000","43,470,000","41,684,000","38,692,000","54,547,000","27,565,000","24,930,000",,,,,,,,"1,354,088",,,
			OtherGandA,"19,532,000","20,494,000","22,824,000","23,304,000","22,558,000","22,697,000","24,176,000","43,470,000","41,684,000","38,692,000","54,547,000","27,565,000","24,930,000",,,,,,,,"1,354,088",,,
		SellingAndMarketingExpense,"24,312,000","30,616,000","60,350,000","58,519,000","57,288,000","71,029,000","79,042,000","67,233,000","74,870,000","68,242,000","65,490,000","54,454,000","49,707,000",,,,,,,,"3,274,747",,,
	ResearchAndDevelopment,"2,336,000","3,081,000","6,885,000","8,993,000","9,224,000","9,445,000","12,528,000",,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,"-7,583,000","22,000,000","3,000,000",,,,,,,,"323",,,,,,
OperatingIncome,"-9,500,000","-11,153,000","9,464,000","8,238,000","4,545,000","11,068,000","7,146,000","21,050,000","2,278,000","25,489,000","15,022,000","23,512,000","13,708,000","3,111,000","20,624,000","29,753,000","14,870,055","11,033,000","3,738,833","1,476,248","1,215,022","750,000","954,000","84,000"
NetNonOperatingInterestIncomeExpense,,,,,,,,"141,000","429,000","305,000","383,000","166,000","61,000",,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,"141,000","429,000","305,000","383,000","166,000","61,000",,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,"-61,000",,,,,,,,,,,
OtherIncomeExpense,"295,000","-2,465,000","-515,000","48,000","173,000","-187,000","-1,242,000","141,000","429,000","309,000","-81,000","-197,000","-78,000","500,000","178,000","3,000","-14,692","323","0","-54,538","-332,721",,,
	GainOnSaleOfSecurity,,,,,,,,,,"4,000",,,,,,,,,,,,,,
	SpecialIncomeCharges,"0","-2,920,000",,,"173,000","0","0","7,583,000","-22,000,000","-3,000,000","-81,000","-197,000","-78,000","500,000","178,000","3,000","-14,692",,,"-54,538","-332,721",,,
		RestructuringAndMergernAcquisition,,,,,,,,,,"3,000,000",,,,,,,,,,"54,538","332,721",,,
		ImpairmentOfCapitalAssets,"0","2,920,000",,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,"187,000","1,242,000","-7,583,000","22,000,000","3,000,000",,,,,,,,,,"0",,,,
	OtherNonOperatingIncomeExpenses,"295,000","455,000","-515,000","48,000","173,000","-187,000","-1,242,000","141,000","429,000","305,000",,,,,,,,,,,,,,
PretaxIncome,"-9,205,000","-13,618,000","8,949,000","8,286,000","4,718,000","10,881,000","5,904,000","21,191,000","2,707,000","25,798,000","15,324,000","23,481,000","13,691,000","3,909,000","22,111,000","31,005,000","15,816,135","11,159,822","3,752,025","1,425,681","885,003",,,
TaxProvision,"-1,179,000","-2,438,000","4,794,000","3,625,000","3,126,000","4,250,000","-4,960,000","4,839,000","7,718,000","7,600,000","12,005,000","10,324,000","7,273,000","8,025,000","13,002,000","14,202,000","7,853,118","5,122,445","1,701,899","572,610","521,268",,,
NetIncomeCommonStockholders,"-8,456,000","-13,423,000","4,155,000","4,661,000","3,530,000","6,631,000","10,864,000","16,352,000","-5,011,000","18,198,000","3,319,000","13,157,000","5,185,000","-4,116,000","9,109,000","16,803,000","7,963,017","6,037,377","2,050,126","853,071","363,735","362,000","105,000","29,000"
	NetIncome,"-8,456,000","-13,423,000","4,155,000","4,661,000","3,530,000","6,631,000","10,864,000","16,352,000","-5,011,000","18,198,000","3,319,000","13,157,000","5,185,000","-4,116,000","9,109,000","16,803,000","7,963,017","6,037,377","2,050,126","853,071","363,735","362,000","105,000","29,000"
		NetIncomeIncludingNoncontrollingInterests,"-8,512,000","-14,570,000","4,155,000","4,661,000","3,530,000","6,631,000","10,864,000","16,352,000","-5,011,000","18,198,000","3,319,000","13,157,000","5,185,000","-4,116,000","9,109,000","16,803,000","7,963,017","6,037,377","2,050,126","853,071","363,735","362,000","105,000","29,000"
			NetIncomeContinuousOperations,"-8,026,000","-11,180,000","4,155,000","4,661,000","1,592,000","6,631,000","10,864,000","16,352,000","-5,011,000","18,198,000","3,319,000","23,512,000","6,418,000","-4,116,000","9,109,000","16,803,000","7,963,017","6,037,377","2,050,126","853,071","363,735","362,000","105,000","29,000"
			NetIncomeDiscontinuousOperations,"-486,000","-3,390,000","0","0","1,938,000",,,,,,"0","0","-1,233,000",,,,,,,,,,,
		MinorityInterests,"56,000","1,147,000",,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"-8,456,000","-13,423,000","4,155,000","4,661,000","3,530,000","6,631,000","10,864,000","16,352,000","-5,011,000","18,198,000","3,319,000","13,157,000","5,185,000","-4,116,000","9,109,000","16,803,000","7,963,017","6,037,377","2,050,126","853,071","363,735","362,000","105,000","29,000"
BasicEPS,,"-1.18","0.35","0.38","0.27","0.47","0.74","1.11","-0.33","1.15","0.2","0.8","0.53","-0.29","0.61","1.08","0.49","0.36","0.11","0.04","0.02","0.02","0.01","0"
DilutedEPS,,"-1.18","0.34","0.37","0.27","0.47","0.74","1.1","-0.33","1.14","0.2","0.8","0.52","-0.29","0.57","1.01","0.45","0.33","0.1","0.04","0.019","0.02","0.01","0"
BasicAverageShares,,"11,344,000","11,809,000","12,323,000","12,882,000","13,997,000","14,722,000","14,768,000","15,269,000","15,866,000","16,315,000","16,444,000","16,408,000","14,273,000","14,847,000","15,503,000","16,249,231","16,879,227","19,425,147","19,425,147","19,425,147","19,373,000","19,323,000","9,432,000"
DilutedAverageShares,,"11,344,000","12,035,000","12,510,000","12,894,000","13,997,000","14,722,000","14,809,000","15,269,000","15,901,000","16,414,000","16,453,000","16,416,000","14,273,000","16,074,000","16,712,000","17,730,876","18,474,775","20,526,951","19,896,353","19,425,147","19,467,000","19,355,000","9,432,000"
