Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,54.0,54.0,54.0,54.0,0.0,16.424640655517578
2000-01-04,55.70000076293945,55.70000076293945,55.70000076293945,55.70000076293945,0.0,16.941713333129883
2000-01-05,54.29999923706055,54.29999923706055,54.29999923706055,54.29999923706055,0.0,16.515888214111328
2000-01-06,52.0,52.0,52.0,52.0,0.0,15.816319465637207
2000-01-07,53.29999923706055,53.29999923706055,53.29999923706055,53.29999923706055,0.0,16.211729049682617
2000-01-10,61.0,61.0,61.0,61.0,100.0,18.55375862121582
2000-01-11,65.5,63.0,63.0,65.5,98.0,19.922481536865234
2000-01-12,66.0,66.0,66.0,66.0,0.0,20.074560165405273
2000-01-13,67.0,67.0,67.0,67.0,30.0,20.378719329833984
2000-01-14,68.0,68.0,68.0,68.0,0.0,20.682884216308594
2000-01-17,81.0,75.30000305175781,75.30000305175781,78.0,800.0,23.724485397338867
2000-01-18,76.5,75.0,76.5,75.0,200.0,22.81200408935547
2000-01-19,76.0,74.0,74.0,76.0,400.0,23.116159439086914
2000-01-20,79.0,78.0,78.0,79.0,100.0,24.028640747070312
2000-01-21,81.0,79.5,79.5,81.0,600.0,24.636960983276367
2000-01-24,83.5,82.0,82.0,83.5,1600.0,25.397363662719727
2000-01-25,81.0,80.0,81.0,80.0,60.0,24.332807540893555
2000-01-26,81.0,80.0,81.0,80.0,100.0,24.332807540893555
2000-01-27,84.0,83.0,84.0,83.0,0.0,25.245285034179688
2000-01-28,84.0,84.0,84.0,84.0,20.0,25.5494441986084
2000-01-31,83.5,80.0,80.0,83.5,0.0,25.397363662719727
2000-02-01,83.5,83.5,83.5,83.5,0.0,25.397363662719727
2000-02-02,87.0,87.0,87.0,87.0,0.0,26.461923599243164
2000-02-03,86.0,83.5,86.0,83.5,100.0,25.397363662719727
2000-02-04,89.0,89.0,89.0,89.0,0.0,27.07024383544922
2000-02-07,90.0,88.0,90.0,88.0,98.0,26.766080856323242
2000-02-08,90.0,89.0,89.0,90.0,45.0,27.37440299987793
2000-02-09,100.0,98.0,98.0,100.0,600.0,30.41600799560547
2000-02-10,91.0,88.5,91.0,89.5,300.0,27.222320556640625
2000-02-11,93.0,93.0,93.0,93.0,55.0,28.286880493164062
2000-02-14,100.0,96.0,96.0,98.0,300.0,29.80768394470215
2000-02-15,102.5,101.0,102.0,101.0,400.0,30.72016143798828
2000-02-16,105.0,97.0,105.0,97.0,1000.0,29.503522872924805
2000-02-17,98.5,95.0,95.0,98.5,40.0,29.959762573242188
2000-02-18,100.0,98.0,100.0,98.0,300.0,29.80768394470215
2000-02-21,93.0,92.0,93.0,92.0,200.0,27.982725143432617
2000-02-22,95.0,92.80000305175781,92.80000305175781,95.0,100.0,28.895204544067383
2000-02-23,96.0,95.0,95.0,96.0,100.0,29.19936752319336
2000-02-24,103.5,96.5,96.5,103.5,200.0,31.480562210083008
2000-02-25,104.5,101.0,104.5,101.0,300.0,30.72016143798828
2000-02-28,99.0,95.0,98.0,97.0,100.0,29.503522872924805
2000-02-29,100.0,99.0,99.0,100.0,25.0,30.41600799560547
2000-03-01,101.0,101.0,101.0,101.0,100.0,30.72016143798828
2000-03-02,103.0,102.5,103.0,102.5,200.0,31.176410675048828
2000-03-03,107.0,104.0,104.0,107.0,100.0,32.54512405395508
2000-03-06,109.5,108.5,109.0,108.5,400.0,33.001373291015625
2000-03-07,107.0,106.5,107.0,106.5,33.0,32.393043518066406
2000-03-08,106.0,103.0,103.0,104.0,200.0,31.632638931274414
2000-03-09,104.0,100.0,104.0,100.0,84.0,30.41600799560547
2000-03-10,103.0,101.5,101.5,103.0,500.0,31.328487396240234
2000-03-13,103.0,94.5,103.0,94.5,100.0,28.743122100830078
2000-03-14,98.0,95.0,96.0,98.0,700.0,29.80768394470215
2000-03-15,93.5,89.0,92.5,93.5,500.0,28.438966751098633
2000-03-16,90.0,85.0,90.0,85.0,0.0,25.853599548339844
2000-03-17,93.0,89.0,89.0,93.0,0.0,28.286880493164062
2000-03-20,91.0,89.0,89.0,91.0,70.0,27.67856216430664
2000-03-21,88.0,84.0,85.0,88.0,56.0,26.766080856323242
2000-03-22,93.0,90.0,92.0,90.0,200.0,27.37440299987793
2000-03-23,89.0,87.0,89.0,87.0,0.0,26.461923599243164
2000-03-24,83.5,82.5,83.5,82.5,0.0,25.09320640563965
