Date,High,Low,Open,Close,Volume,Adj Close
2020-01-20,111,98,105,98,557700,98
2020-01-21,107,94,100,103,1121400,103
2020-01-22,107,99,103,107,82000,107
2020-01-23,107,101,107,101,1665600,101
2020-01-24,100,91,100,98,266500,98
2020-01-27,104,97,98,103,74700,103
2020-01-28,99,93,99,94,251300,94
2020-01-29,93,85,93,89,673500,89
2020-01-30,92,82,89,82,203800,82
2020-01-31,85,81,82,85,49700,85
2020-02-03,89,85,86,87,24000,87
2020-02-04,88,81,87,87,78800,87
2020-02-05,87,85,87,85,55800,85
2020-02-06,90,85,85,89,4100,89
2020-02-07,89,86,89,88,31700,88
2020-02-10,91,88,88,91,95700,91
2020-02-11,100,90,91,90,185100,90
2020-02-12,97,90,90,91,7100,91
2020-02-13,98,91,95,98,135600,98
2020-02-14,100,94,100,98,77100,98
2020-02-17,103,98,100,100,175200,100
2020-02-18,100,95,100,96,63700,96
2020-02-19,100,95,96,95,19600,95
2020-02-20,95,93,95,93,21100,93
2020-02-21,93,84,93,85,794600,85
2020-02-24,86,77,82,86,235700,86
2020-02-25,88,81,81,88,9200,88
2020-02-26,88,84,88,86,38500,86
2020-02-27,86,82,86,82,59800,82
2020-02-28,87,81,82,87,16100,87
2020-03-02,86,82,84,85,24000,85
2020-03-03,86,83,86,85,23800,85
2020-03-04,92,84,88,89,34300,89
2020-03-05,89,87,89,89,23400,89
2020-03-06,91,89,89,91,6200,91
2020-03-09,91,87,91,89,27300,89
2020-03-10,91,89,89,90,167700,90
2020-03-11,89,86,89,89,28000,89
2020-03-12,89,82,89,82,65800,82
2020-03-13,82,74,82,81,148600,81
2020-03-16,85,79,85,83,19600,83
2020-03-17,87,80,83,87,24300,87
2020-03-18,87,85,87,85,19100,85
2020-03-19,86,85,86,85,7300,85
2020-03-20,88,85,85,88,5900,88
2020-03-23,94,85,94,91,3500,91
2020-03-24,93,90,91,93,7800,93
2020-03-26,100,88,92,98,1300,98
2020-03-27,95,90,90,95,105100,95
2020-03-30,95,95,95,95,0,95
2020-03-31,90,89,90,90,245500,90
2020-04-01,95,88,95,88,29100,88
2020-04-02,93,91,93,92,5200,92
2020-04-03,95,94,94,95,200,95
2020-04-06,94,89,89,94,10300,94
2020-04-07,97,94,94,97,400,97
2020-04-08,97,90,96,93,11400,93
2020-04-09,93,93,93,93,0,93
2020-04-13,92,87,90,92,5500,92
2020-04-14,93,87,92,93,2100,93
2020-04-15,94,87,87,93,5100,93
